name_cn,name_en
"盖布泽技术大学","Gebze Technical University"
"格拉斯哥卡利多尼亚大学","Glasgow Caledonian University"
"哈尔滨工程大学","Harbin Engineering University"
"匈牙利农业与生命科学大学","Hungarian University of Agriculture and Life Sciences"
"印第安纳大学-印第安纳波利斯","Indiana University-Purdue University at Indianapolis"
"江原国立大学","Kangwon National University"
"哈萨克斯坦-英国技术大学","Kazakh-British Technical University"
"肯特州立大学","Kent State University"
"东京都立大学","Tokyo Metropolitan University"
"安德烈斯·贝洛大学","Universidad Andres Bello"
"卡斯蒂利亚 - 拉曼恰大学","University of Castilla-La Mancha"
"瓜达拉哈拉大学","Universidad de Guadalajara"
"美洲普埃布拉大学（UDLAP）","Universidad de las Américas Puebla (UDLAP)"
"莱昂大学","Universidad de Leon"
"波多黎各大学","Universidad de Puerto Rico"
"圣安德烈斯大学","Universidad de San Andrés - UdeSA"
"塔尔卡大学","Universidad de Talca"
"瓦莱大学","Universidad del Valle"
"圣地亚哥大学门户网站","University Diego Portales"
"ICESI大学","Universidad ICESI"
"乌拉圭大学","Universidad ORT Uruguay"
"秘鲁秘鲁卡耶塔诺大学","Universidad Peruana Cayetano Heredia"
"玻利瓦尔纳天主教大学","Universidad Pontificia Bolivariana"
"雷伊·胡安·卡洛斯大学","Universidad Rey Juan Carlos"
"拉科鲁尼亚大学","Universidade da Coruna"
"阿尔加威大学","Universidade do Algarve"
"Universita' degli St","Universita' degli Studi "G. d'Annunzio" Chieti Pescara"
"乌迪内大学研究","Università degli Studi di Udine"
"塞贝拉斯马雷特大学","Universitas Sebelas Maret"
"苏门答腊北方大学","Universitas Sumatera Utara"
"莱里达大学","Universitat de Lleida"
"斯法克斯大学","Universite de Sfax"
"巴黎索邦大学（巴黎IV）","Université Paris-Sorbonne (Paris IV)"
"图卢兹大学1 Capitole","Université Toulouse 1 Capitole"
"马来西亚玻璃市大学","Universiti Malaysia Perlis"
"沙巴大学沙巴（UMS）","Universiti Malaysia Sabah (UMS)"
"马来西亚砂拉越大学（UNIMAS）","Universiti Malaysia Sarawak (UNIMAS)"
"马来西亚敦侯赛因翁大学 (UTHM)","Universiti Tun Hussein Onn Malaysia (UTHM)"
"阿拉巴马大学伯明翰分校","University of Alabama at Birmingham"
"阿肯色大学","University of Arkansas"
"巴拉曼德大学","University of Balamand"
"中央兰开夏大学","University of Central Lancashire"
"科伦坡大学","University of Colombo"
"丹佛大学","University of Denver"
"德乌斯托大学","University of Deusto"
"东伦敦大学","University of East London"
"赫拉德茨克拉洛夫大学","University of Hradec Kralove"
"伊巴丹大学","University of Ibadan"
"爱达荷大学","University of Idaho"
"约阿尼纳大学","University of Ioannina"
"伊斯法罕大学","University of Isfahan"
"卡拉奇大学","University of Karachi"
"拉各斯大学","University of Lagos"
"路易斯维尔大学","University of Louisville"
"密西西比大学","University of Mississippi"
"密苏里大学堪萨斯城分校","University of Missouri, Kansas City"
"穆尔西亚大学","University of Murcia"
"内罗毕大学","University of Nairobi"
"内华达大学-里诺","University of Nevada - Reno"
"新英格兰大学","University of New England"
"新罕布什尔大学","University of New Hampshire"
"北卡罗来纳大学夏洛特分校","University of North Carolina at Charlotte"
"帕尔马大学","University of Parma"
"里贾纳大学","University of Regina"
"罗德岛大学","University of Rhode Island"
"萨兰托大学","University of Salento"
"南波西米亚大学","University of South Bohemia"
"塔布克大学","University of Tabuk"
"自由州大学","University of the Free State"
"九州工业大学","Kyushu Institute of Technology"
"利兹贝克特大学","Leeds Beckett University"
"下诺夫哥罗德国立大学","Lobachevsky State University Nizhni Novgorod"
"罗兹工业大学","Lodz University of Technology"
"伦敦都会大学","London Metropolitan University"
"芝加哥洛约拉大学","Loyola University Chicago"
"里昂第二大学","Lumière University, Lyon 2"
"利沃夫理工大学","Lviv Polytechnic National University"
"马克雷雷大学","Makerere University"
"密西西比州立大学","Mississippi State University"
"穆斯坦斯里耶大学","Mustansiriyah University"
"国家研究萨拉托夫州立大学","National Research Saratov State University"
"国立哈尔科夫工业大学","National Technical University  "Kharkiv Polytechnic Institute""
"罗萨里奥国立大学","National University of Rosario"
"尼古拉·哥白尼大学","Nicolaus Copernicus University"
"新泻大学","Niigata University"
"北亚利桑那大学","Northern Arizona University"
"西北大学","Northwest University"
"圣母大学","Notre Dame University-Louaize NDU"
"厄瓜多尔天主教大学（PUCE）","Pontificia Universidad Católica del Ecuador (PUCE)"
"圣保罗天主教大学","Pontifícia Universidade Católica de São Paulo"
"波兹南理工大学","Poznan University of Technology"
"里加斯特拉丁斯大学","Riga Stradins University"
"S.D.阿斯芬迪亚罗夫哈萨克国立医科大学","S.D. Asfendiyarov Kazakh National Medical University"
"圣彼得堡矿业大学","Saint-Petersburg Mining University"
"圣地亚哥州立大学","San Diego State University"
"首尔国立科技大学","Seoul National University of Science & Technology"
"谢菲尔德哈勒姆大学","Sheffield Hallam University"
"西伯利亚联邦大学","Siberian Federal University"
"西里西亚工业大学","Silesian University of Technology"
"斯洛伐克工业大学布拉迪斯拉发","Slovak University of Technology Bratislava"
"顺天乡大学","Soonchunhyang University"
"南方联邦大学","Southern Federal University"
"南卫理公会大学","Southern Methodist University"
"西南大学","Southwest University"
"SRM科学技术学院","SRM Institute of Science and Technology"
"苏美州立大学","Sumy State University"
"塞切尼伊斯特万大学","Széchenyi István University"
"科希策技术大学","Technical University of Kosice"
"俄斯特拉发技术大学","Technical University of Ostrava"
"哈希姆大学","The Hashemite University"
"德克萨斯大学阿灵顿分校","The University of Texas at Arlington"
"德克萨斯大学-圣安东尼奥","The University of Texas at San Antonio"
"夸梅恩克鲁玛科技大学","Kwame Nkrumah University of Science and Technology"
"京都工业大学","Kyoto Institute of Technology"
"拉脱维亚生命科学与技术大学","Latvia University of Life Sciences and Technologies"
"马凯特大学","Marquette University"
"穆罕默德五世大学","Mohammed V University"
"名古屋工业大学","Nagoya Institute of Technology"
"国立钦几工业大学","National Chin-Yi University of Technology"
"国立东华大学","National Dong Hwa University"
"莫斯科国立研究大学动力工程学院 (MPE","National Research University Moscow Power Engineering Institute (MPEI)"
"国立台湾海洋大学","National Taiwan Ocean University"
"基辅莫希拉国立大学","National University of Kyiv-Mohyla Academy (NaUKMA)"
"新墨西哥州立大学","New Mexico State University"
"新西伯利亚国立技术大学","Novosibirsk State Technical University"
"巴黎南泰大学","Paris Nanterre University"
"保罗·瓦莱里大学蒙彼利埃","Paul Valéry University Montpellier"
"本地治里大学","Pondicherry University"
"南大河天主教大学","Pontificia Universidade Catolica Do Rio Grande Do Sul"
"波特兰州立大学","Portland State University"
"朴庆国立大学","Pukyong National University"
"英国爱丁堡玛格丽特女王大学","Queen Margaret University , Edinburgh"
"里约热内卢州立大学","Rio de Janeiro State University"
"俄罗斯总统国民经济与公共行政学院","Russian Presidential Academy of National Economy and Public Admini"
"圣彼得堡国立电子科技大学","Saint Petersburg Electrotechnical University ETU-LETI"
"哈萨克农业大学","Saken Seifullin Kazakh Agrotechnical University"
"萨马拉国立研究大学（Samara University）","Samara National Research University (Samara University)"
"萨雅巴玛科学技术学院","Sathyabama Institute of Science and Technology"
"上海外国语大学","Shanghai International Studies University"
"上海财经大学","Shanghai University of Finance"
"信州大学","Shinshu University"
"Siksha'O'Anusandhan","Siksha ‘O’ Anusandhan"
"斯洛伐克尼特拉农业大学","Slovak University of Agriculture in Nitra"
"淑明女子大学","Sookmyung Women's University"
"苏拉纳里工业大学","Suranaree University of Technology"
"淡江大学","Tamkang University"
"克卢日-纳波卡技术大学","Technical University of Cluj-Napoca"
"利贝雷茨技术大学","Technical University of Liberec"
"哥斯达黎加技术中心（TECN）","Tecnológico de Costa Rica -TEC"
"雅西“Gheorghe Asachi”科技大学","The "Gheorghe Asachi" Technical University of Iasi"
"孟斐斯大学","The University of Memphis"
"北安普顿大学","The University of Northampton"
"澳大利亚圣母大学","The University of Notre Dame, Australia"
"约旦萨勒特拜勒加应用科技大學","Al-Balqa Applied University"
"巴哈丁·扎卡里亚大学","Bahauddin Zakariya University"
"北京外国语大学","Beijing Foreign Studies University"
"北京中医药大学","Beijing University of Chinese Medicine"
"普埃布拉自治大学","Benemérita Universidad Autónoma de Puebla"
"贝尼索夫大学","Beni-Suef University"
"比尔泽特大学","Birzeit university"
"埃及的英国大学","British University in Egypt"
"加利福尼亚州立理工大学-圣路易斯·奥比斯波","California Polytechnic State University--San Luis Obispo"
"坎特伯雷基督教堂大学","Canterbury Christ Church University"
"北方天主教大学","Catholic University of the North"
"长荣基督教大学","Chang Jung Christian University"
"中国政法大学","China University of Political Science and Law"
"库库洛娃大学","Cukurova University"
"度库兹埃路尔大学","Dokuz Eylül Üniversitesi"
"巴伊亚联邦大学","Federal University of Bahia"
"塞阿拉联邦大学","Federal University of Ceara"
"伯南布哥联邦大学","Federal University of Pernambuco"
"圣玛丽亚联邦大学","Federal University of Santa Maria"
"威科萨联邦大学","Federal University of Vicosa"
"逢甲大学","Feng Chia University"
"弗鲁米嫩塞联邦大学","Universidade Federal Fluminense"
"辅仁天主教大学","Fu Jen Catholic University"
"开罗德国大学","German University in Cairo"
"河内科技大学","Hanoi University of Science and Technology"
"伊本·托法尔大学","Ibn Tofaïl University"
"国际基督教大学","International Christian University"
"国际伊斯兰大学，伊斯兰堡","International Islamic University, Islamabad"
"伊斯兰阿扎德大学","Islamic Azad University"
"麦地那伊斯兰大学","Islamic University of Madinah"
"伊斯坦布尔艾丁大学","Istanbul Aydin University"
"ITESO，瓜达拉哈拉耶稣会大学","ITESO, Universidad Jesuita de Guadalajara"
"伊凡·弗兰科利沃夫国立大学","Ivan Franko National University of Lviv"
"伊兹密尔理工学院","Izmir Institute of Technology"
"让·穆兰大学 - 里昂 3","Jean Moulin University – Lyon 3"
"济州国立大学","Jeju National University"
"鹿儿岛大学","Kagoshima University"
"哈萨克阿布赖汗国际关系与世界语言大学","Kazakh Ablai Khan University of International Relations and World Languages"
"哈尔科夫国立无线电电子大学","Kharkiv National University of Radio Electronics"
"泰国先皇理工大学","King Mongkut’s Institute of Technology Ladkrabang"
"曼谷国王科技大学","King Mongkut's University of Technology North Bangkok"
"秋明大学","University of Tyumen"
"威斯康星大学-密尔沃基","University of Wisconsin - Milwaukee"
"布加勒斯特大学政治学院","University POLITEHNICA of Bucharest"
"西蒂米什瓦拉大学","West University of Timisoara"
"西密歇根大学","Western Michigan University"
"圣多明各技术学院 (INTEC)","Instituto Tecnológico de Santo Domingo (INTEC)"
"敖德萨国立大学","Odessa I.I.Mechnikov National University"
"厄瓜多尔美洲大学","Universidad de Las Américas Ecuador"
"长老会麦肯齐大学","Universidade Presbiteriana Mackenzie"
"管理技术大学","University of Management and Technology"
"马来西亚吉兰丹大学","Universiti Malaysia Kelantan"
"摩苏尔大学","University of Mosul"
"国立工程大学","Universidad Nacional de Ingeniería"
"奇特卡拉大学","Chitkara University"
"贾汉吉尔讷格尔大学","Jahangirnagar University"
"日惹穆罕默德迪亚大学","Universitas Muhammadiyah Yogyakarta"
"日惹国立大学","Universitas Negeri Yogyakarta"
"拉杰沙希大学","University of Rajshahi"
"卡尔巴拉大学","University of Kerbala"
"I.拉扎科夫吉尔吉斯国立技术大学","I. Razzakov Kyrgyz State Technical University"
"艾哈迈杜贝洛大学","Ahmadu Bello University"
"加尔戈蒂亚斯大学","Galgotias University"
"希夫纳达尔大学","Shiv Nadar University"
"亚松森国立大学","Universidad Nacional de Asunción"
"南科学大学","Universidad Científica del Sur"
"约旦扎伊图纳大学","Al-Zaytoonah University of Jordan"
"安曼阿拉伯大学","Amman Arab University"
"埃尔吉耶斯大学","Erciyes Üniversitesi"
"万隆国立技术学院（ITENAS Bandung）","Institut Teknologi Nasional Bandung (ITENAS Bandung)"
"巴勒斯坦技术大学（嘉道理）","Palestine Technical University - Kadoorie"
"普拉特学院","Pratt Institute"
"塔什干国立交通大学","Tashkent State Transport University"
"乌尔比诺卡罗博大学学位课程","Universita' degli Studi di Urbino Carlo Bo"
"特里萨克蒂大学","Universitas Trisakti"
"叶塞诺夫大学","Yessenov University"
"胡志明市工业大学","Industrial University of Ho Chi Minh City"
"吉尔吉斯斯坦国立大学","Kyrgyz National University"
"三角洲科技大学","Delta University for Science & Technology"
"伊斯兰科技大学","Islamic University of Technology"
"危地马拉谷大学 (UVG)","Universidad del Valle de Guatemala (UVG)"
"佩特拉大学","University of Petra"
"德岛大学","Tokushima University"
"托马斯拔佳大学","Tomas Bata University in Zlin"
"布拉索夫特兰西瓦尼亚大学","Transilvania University of Brasov"
"东海大学","Tunghai University"
"查平戈自治大学","Universidad Autónoma de Chapingo"
"新里昂大学","Universidad Autonoma de Nuevo Leon"
"伊达尔戈自治大学","Universidad Autónoma del Estado de Hidalgo"
"墨西哥自治大学","Universidad Autonoma del Estado de Mexico"
"卡塔利卡大学圣安东尼奥·穆尔西亚分校（UCAM）","Universidad Católica San Antonio de Murcia (UCAM)"
"中央大学“阿伯勒玛塔”德拉斯别墅","Universidad Central "Marta Abreu" de Las Villas"
"瓜达拉哈拉大学","Universidad de Guadalajara"
"弗龙特拉大学","Universidad de La Frontera"
"利马大学","Universidad de Lima"
"安德斯大学","Universidad de los Andes"
"蒙特雷大学（UDEM）","Universidad de Monterrey (UDEM)"
"瓦尔帕莱索大学","Universidad de Valparaiso"
"北方大学","Universidad del Norte"
"桑坦德工业大学-UIS","Universidad Industrial de Santander - UIS"
"哥斯达黎加国立大学","Universidad Nacional Costa Rica"
"国立库约大学","Universidad Nacional de Cuyo"
"国立圣路易斯大学","Universidad Nacional de San Luis"
"布宜诺斯艾利斯省中央大学 (UNICEN","Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN)"
"国民立大学","Universidad Nacional del Litoral"
"秘鲁科学大学","Universidad Peruana de Ciencias Aplicadas"
"巴拿马巴拿马技术大学（UTP）","Universidad Tecnológica de Panamá (UTP)"
"全国技术大学（UTN）","Universidad Tecnológica Nacional (UTN)"
"印度尼西亚彭迪迪坎大学","Universitas Pendidikan Indonesia"
"锡根大学","Universitat Siegen"
"卡昂诺曼底大学","Université de Caen Normandie"
"普瓦捷大学","Université de Poitiers"
"苏塞大学","Université de Sousse"
"突尼斯大学","Université de Tunis"
"图卢兹大学-让·乔瑞斯","Université Toulouse--Jean Jaurès"
"吉隆坡大学","Universiti Kuala Lumpur"
"马来西亚马六甲工艺大学","Universiti Teknikal Malaysia Melaka"
"巴比伦大学","University of Babylon"
"巴士拉大学","University of Basrah"
"德比大学","University of Derby"
"智利发展大学","University of Desarrollo"
"对外经济贸易大学","University of International Business and Economics"
"凯泽斯劳滕大学","University of Kaiserslautern"
"喀土穆大学","University of Khartoum"
"库法大学","University of Kufa"
"里摩日大学","University of Limoges"
"米什科尔茨大学","University of Miskolc"
"北卡罗来纳大学格林斯伯勒分校","University of North Carolina at Greensboro"
"诺维萨德大学","University of Novi Sad"
"俄斯特拉发大学","University of Ostrava"
"潘诺尼亚大学","University of Pannonia"
"帕尔杜比采大学","University of Pardubice"
"佩拉德尼亚大学","University of Peradeniya"
"普里莫斯卡大学","University of Primorska"
"里耶卡大学","University of Rijeka"
"圣地亚哥大学","University of San Diego"
"旧金山大学","University of San Francisco"
"萨拉热窝大学","University of Sarajevo"
"西里西亚大学卡托维兹","University of Silesia in Katowice"
"南阿拉巴马大学","University of South Alabama"
"斯普利特大学","University of Split"
"德克萨斯大学埃尔帕索分校","University of Texas at El Paso"
"ULACIT-哥斯达黎加拉丁美洲和加勒比","ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica"
"智利自治大学","Universidad Autónoma de Chile"
"瓜纳华托大学","Universidad de Guanajuato"
"拉萨尔大学","Universidad de La Salle"
"巴勒莫大学","Universidad de Panamá - UP"
"大都会大学","Universidad Metropolitana"
"莫利纳国立农业大学","Universidad Nacional Agraria la Molina"
"圣马丁国立大学（UNSAM）","Universidad Nacional de San Martín (UNSAM)"
"贝加莫大学","Università degli studi di Bergamo"
"安达拉大学","Universitas Andalas"
"密苏里大学圣路易斯分校","University of Missouri-St Louis"
"奥拉迪亚大学","University of Oradea"
"塔拉帕卡大学","University of Tarapacá"
"太平洋大学","University of the Pacific"
"西波希米亚大学","University of West Bohemia"
"沃罗涅日州立大学","Voronezh State University"
"山口大学","Yamaguchi University"
"荣山大学","Youngsan University"
"夏威夷大学希洛分校","University of Hawaii at Hilo"
"Madre y Maestra天主教主教大学","Pontificia Universidad Católica Madre y Maestra (PUCMM)"
"昆卡大学","Universidad de Cuenca"
"皮乌拉大学","Universidad de Piura"
"苏利亚大学","Universidad del Zulia"
"特木科天主教大学","Universidad Católica de Temuco"
"库尔纳工程技术大学","Khulna University of Engineering and Technology (KUET)"
"玛琅州立大学","State University of Malang"
"卢布林工业大学","Lublin University of Technology"
"印度尼西亚阿特玛再也天主教大学","Atma Jaya Catholic University of Indonesia"
"吉大港工程技术大学","Chittagong University of Engineering and Technology"
"佩特拉基督教大学","Petra Christian University"
"苏丹再纳尔阿比丁大学","Universiti Sultan Zainal Abidin"
"吉隆坡伊斯兰大学","Universitas Syiah Kuala"
"俄罗斯赫尔岑国立师范大学","Herzen State Pedagogical University of Russia"
"玛哈沙拉堪大学","Mahasarakham University"
"门捷列夫化工大学","Mendeleev University of Chemical Technology"
"国立台北大学","National Taipei University"
"南方国立大学","Universidad Nacional del Sur"
"巴甫洛达尔国立大学","S. Toraighyrov Pavlodar State University"
"旧金山州立大学","San Francisco State University"
"上海师范大学","Shanghai Normal University"
"西尔帕功大学","Silpakorn University"
"崇实大学","Soongsil University"
"Stefan cel Mare 苏恰瓦大","Stefan cel Mare University of Suceava"
"苏伊士运河大学","Suez Canal University"
"巴哈瓦尔布尔伊斯兰大学","The Islamia University of Bahawalpur"
"国立研究型大学“别尔哥罗德国立大学”","The National Research University "Belgorod State University""
"阿克德尼兹大学","Akdeniz Üniversitesi"
"青山学院大学","Aoyama Gakuin University"
"下加利福尼亚州自治大学","Autonomous University of Baja California"
"白俄罗斯国立信息与无线电电子大学","Belarusian State University of Informatics and Radioelectronics"
"中央密歇根大学","Central Michigan University"
"朝阳工业大学","Chaoyang University of Technology"
"克利夫兰州立大学","Cleveland State University"
"国立理工学校","Escuela Politécnica Nacional"
"北里奥格兰德州联邦大学","Universidade Federal do Rio Grande do Norte"
"乌伯兰迪联邦大学","Federal University of Uberlândia"
"哈珀亚当斯大学","Harper Adams University"
"印度信息技术学院，阿拉哈巴德","Indian Institute of Information Technology, Allahabad"
"伊斯坦布尔比尔吉大学","Istanbul Bilgi Üniversitesi"
"贾米亚·哈姆达德大学","Jamia Hamdard"
"喀山国立研究技术大学","Kazan National Research Technical University"
"近畿大学","Kindai University"
"斯里贾亚瓦德纳普拉大学","University of Sri Jayewardenepura"
"比奥比奥大学","Universidad del Bio-Bio"
"塔什干信息技术大学","Tashkent University of Information Technologies"
"马纳夫·拉赫纳国际研究所","Manav Rachna International Institute of Research and Studies"
"巴东州立大学","Universitas Negeri Padang"
"美国国际大学-孟加拉国","American International University – Bangladesh"
"拉杰沙希工程技术大学","Rajshahi University of Engineering and Technology"
"莫拉图瓦大学","University of Moratuwa"
"岘港大学","University of Danang"
"班加罗尔基督大学（视为大学）","CHRIST (Deemed to be University), Bengaluru"
"孟加拉国独立大学","Independent University,Bangladesh"
"北哈萨克斯坦M.科济巴耶夫大学","M. Kozybayev North Kazakhstan University"
"塞米伊市沙卡里姆大学哈萨克斯坦","Shakarim University of the City of Semey, Kazakhstan"
"洪都拉斯中美洲理工大学 (UNITEC)","Universidad Tecnológica Centroamericana (UNITEC) - Honduras"
"东明大学","Tongmyong University"
"的黎波里大学","University of Tripoli"
"印度尼西亚伊斯兰大学","Islamic University of Indonesia (Universitas Islam Indonesia)"
"帕夭大学","University of Phayao"
"哈科特港大学","University of Port Harcourt"
"普里什蒂纳大学","University of Prishtina"
"萨拉托夫国立医科大学","Saratov State Medical University"
"列舍特涅夫西伯利亚国立科技大学","Reshetnev Siberian State University of Science and Technology"
"三佛齐大学","Universitas Sriwijaya"
"巴伊亚州立大学","State University of Bahia"
"苏丹穆莱·斯莱曼大学","Université Sultan Moulay Slimane"
"富山县立大学","Toyama Prefectural University"
"图拉州立大学","Tula State University"
"乌法科技大学","Ufa University of Science and Technology"
"乌日霍罗德国立大学","Uzhhorod National University"
"维亚纳堡理工学院","Instituto Politécnico de Viana do Castelo"
"日惹国立大学","Yogyakarta State University"
"凯泽斯劳滕-兰道大学 (RPTU)","University of Kaiserslautern-Landau(RPTU)"
"斯里贾亚瓦德纳普拉大学","University of Sri Jayawardenapura"
"加泰罗尼亚理工大学","Universitat Politecnica de Catalunya"
"菲律宾马尼拉大学","University of the Philippines Manila"
"阮达清大学 (NTTU)","Nguyen Tat Thanh University (NTTU)"
"肖里尼大学","Shoolini University"
"苏莱曼尼亚大学","University of Sulimanyah"
"萨维萨医学与技术科学研究所","Saveetha Institute of Medical & Technical Science"
"伊斯兰堡空军大学","Air University Islamabad"
"纳迦国立大学","An Najah National University"
"哈伊勒大学","University Ha'il"
"桑杰·甘地医学科学研究所","Sanjay Gandhi Postgraduate Institute of Medical Sciences"
"索非亚大学???圣。克莱门特·奥赫里德斯基？？？","Sofia University ???St. Kliment Ohridski???"
"巴赫达尔大学","Bahir Dar University"
"波尔图理工学院","Instituto Politecnico do Porto"
"里斯本大学学院","University Institute of Lisbon"
"曼谷北部先皇科技大学","King Mongkuts University of Technology North Bangkok"
"拉科鲁尼亚大学","University of A Coruna"
"塔克西拉工程技术大学","University of Engineering & Technology Taxila"
"牙买加西印度群岛莫娜大学","University West Indies Mona Jamaica"
"马来西亚国际医科大学","International Medical University Malaysia"
"格赖夫斯瓦尔德大学","Universitat Greifswald"
"岭南大学","Lingnan University"
"基辅国立塔拉斯舍甫琴科大学","National Taras Shevchenko University of Kyiv"
"旁遮普省奇特卡拉大学","Chitkara University, Punjab"
"加泰罗尼亚奥伯塔大学 UOC","UOC Universitat Oberta de Catalunya"
"印度理工学院 (IIT) - 布巴内斯瓦尔","Indian Institute of Technology (IIT) - Bhubaneswar"
"伊本·托法伊尔盖尼特拉大学","Ibn Tofail University of Kenitra"
"孟加拉国工程技术大学 (BUET)","Bangladesh University of Engineering & Technology (BUET)"
"闽江学院","Minjiang University"
"达喀尔谢赫安塔迪奥普大学","University Cheikh Anta Diop Dakar"
"伊拉克科技大学","University of Technology- Iraq"
"马来西亚敦侯赛因翁大学","University of Tun Hussein Onn Malaysia"
"仲恺农业工程大学","Zhongkai University of Agriculture & Engineering"
"萨瓦勃朗峰大学","Universite Savoie Mont Blanc"
"浙江财经大学","Zhejiang University of Finance & Economics"
"克卢日-纳波卡农业科学与兽医大学","University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca"
"山东财经大学","Shandong University of Finance & Economics"
"库鲁舍特拉国立技术学院","National Institute of Technology Kurukshetra"
"广西民族大学","Guangxi Minzu University"
"江西财经大学","Jiangxi University of Finance & Economics"
"胡志明市科技大学 (HCMCUT)","Ho Chi Minh City University of Technology (HCMCUT)"
"图卢兹第一大学卡皮托勒分校","Universite Toulouse 1 Capitole"
"巴特那国立技术学院","National Institute of Technology Patna"
"穆罕默德六世理工大学","Mohammed VI Polytechnic University"
"玛拉达伦大学","Malardalen University"
"圣克拉拉大学","Santa Clara University"
"哈马丹医科大学","Hamadan University of Medical Sciences"
"汉诺威兽医大学","University of Veterinary Medicine Hannover"
"北卡罗来纳 A&T 州立大学","North Carolina A&T State University"
"阿道夫·伊巴内斯大学","Universidad Adolfo Ibanez"
"澳大利亚圣母大学","The University of Notre Dame Australia"
"阿加迪尔伊本佐尔大学","Ibn Zohr University of Agadir"
"阿波美卡拉维大学","University of Abomey Calavi"
"奥托·弗里德里希大学班贝格分校","Otto Friedrich University Bamberg"
"广东石油化工大学","Guangdong University of Petrochemical Technology"
"慕尼黑联邦国防军大学","Bundeswehr University Munich"
"蒂赛德大学","University of Teesside"
"印度理工学院 (IIT) - 焦特布尔","Indian Institute of Technology (IIT) - Jodhpur"
"河内科技大学 (HUST)","Hanoi University of Science & Technology (HUST)"
"伊斯廷耶大学","Istinye University"
"武汉工业大学","Wuhan Polytechnic University"
"卢旺达大学","University of Rwanda"
"哥伦比亚北方大学","Universidad del Norte Colombia"
"蒂米什瓦拉理工大学","Polytechnic University of Timisoara"
"浙江科技大学","Zhejiang University of Science & Technology"
"穆莱·伊斯梅尔·梅克内斯大学","Moulay Ismail University of Meknes"
"加泰罗尼亚中央大学","Universite Centrale de Catalonia"
"卡拉马诺格鲁梅梅特贝大学","Karamanoglu Mehmetbey University"
"印度理工学院 (IIT) - 罗帕尔","Indian Institute of Technology (IIT) - Ropar"
"锡那罗亚自治大学","Universidad Autonoma de Sinaloa"
"福建工业大学","Fujian University of Technology"
"天津商业大学","Tianjin University of Commerce"
"克拉约瓦医药大学","University of Medicine & Pharmacy of Craiova"
"兹林托马斯·巴塔大学","Tomas Bata University Zlin"
"圣雄甘地大学，喀拉拉邦","Mahatma Gandhi University, Kerala"
"阿拉伯科学、技术与海运学院","Arab Academy for Science, Technology & Maritime Transport"
"北方民族大学","North Minzu University"
"深圳理工大学","Shenzhen Technology University"
"南京审计大学","Nanjing Audit University"
"萨马拉国立研究大学","Samara National Research University"
"中央民族大学","Minzu University of China"
"首都经济贸易大学","Capital University of Economics & Business"
"图卢兹国立兽医学院","Ecole Nationale Veterinaire de Toulouse"
"湖北师范大学","Hubei Normal University"
"安徽工程大学","Anhui Polytechnic University"
"布拉干卡理工学院","Instituto Politecnico de Braganca"
"淮北师范大学","Huaibei Normal University"
"魁北克大学希库蒂米分校","University of Quebec Chicoutimi"
"桑蒂斯马康塞普西翁天主教大学","Universidad Catolica de la Santisima Concepcion"
"阿拉哈巴德大学","University of Allahabad"
"伯德万大学","University of Burdwan"
"中瑞典大学","Mid-Sweden University"
"利贝雷茨技术大学","Technical University Liberec"
"SSN工程学院","SSN College of Engineering"
"什切青大学","University of Szczecin"
"克劳斯塔尔工业大学","TU Clausthal"
"佩里亚尔大学","Periyar University"
"重庆科技大学","Chongqing University of Science & Technology"
"深圳工业大学","Shenzhen Polytechnic University"
"先端技术研究科大学","Graduate University of Advanced Technology"
"南特大西洋国立兽医学院、农业食品学院","Ecole Nationale Veterinaire, Agroalimentaire et de l'Alimentation Nantes-Atlantique"
"西南民族大学","Southwest Minzu University"
"马哈希·达亚南德大学","Maharshi Dayanand University"
"马尼萨杰拉勒巴亚尔大学","Manisa Celal Bayar Universitesi"
"Abdelmalek Essaadi 得土安大学","Abdelmalek Essaadi University of Tetouan"
"泰拉莫大学","University of Teramo"
"北京信息科技大学","Beijing Information Science & Technology University"
"南阳师范学院","Nanyang Normal College"
"卡拉萨林加姆研究与教育学院","Kalasalingam Academy of Research & Education"
"贾朗达尔国立理工学院 B R Ambedkar 博士","Dr B R Ambedkar National Institute of Technology Jalandhar"
"圣巴勃罗 CEU 大学","San Pablo CEU University"
"北方工业大学","North China University of Technology"
"丰桥工业大学","Toyohashi University of Technology"
"加拉茨杜纳雷阿德乔斯大学","Dunarea De Jos University Galati"
"巴罗达王公大学","Maharaja Sayajirao University Baroda"
"天津城建大学","Tianjin Chengjian University"
"西南林业大学 - 中国","Southwest Forestry University - China"
"川崎医学院","Kawasaki Medical School"
"湖北文理学院","Hubei University of Arts & Science"
"常熟工程学院","Changshu Institute of Technology"
"研究生医学教育中心 - 波兰","Centre of Postgraduate Medical Education - Poland"
"甘地技术与管理学院 (GITAM)","Gandhi Institute of Technology & Management (GITAM)"
"中原工学院","Zhongyuan University of Technology"
"圣玛丽大学 - 加拿大","Saint Marys University - Canada"
"中田纳西州立大学","Middle Tennessee State University"
"卡伦亚技术与科学研究所","Karunya Institute of Technology & Sciences"
"沙希德拉贾师范大学 (SRTTU)","Shahid Rajaee Teacher Training University (SRTTU)"
